Date,realized_vol,target_vol,rv_lag1,rv_lag5,rv_lag20,rv_change1,rv_change5,rv_mean5,rv_mean20,rv_mean60,ret_lag1,ret_lag5,abs_ret,abs_ret_mean5,abs_ret_mean20,vol_of_vol_20,vol_of_vol_60,drawdown_60,ma_ratio_20_60
2017-02-06,0.0617348087608298,0.0641681998297477,0.0621709575166215,0.0680593450155352,0.0718854547811312,-0.0004361487557917043,-0.006324536254705408,0.06181466931250368,0.06460365466699315,0.08076393002668122,0.006869259313708298,-0.006221028357482616,0.0017891704147334764,0.001960059049721785,0.003015194098728635,0.004615981118588769,0.016772314975483423,-0.002787689819719108,0.01680056845357214
2017-02-07,0.0602097950353546,0.0622705250154613,0.0617348087608298,0.0661717747400994,0.0731045139168971,-0.0015250137254751994,-0.005961979704744803,0.06062227337155472,0.06395891872291602,0.08001517558840826,-0.0017891704147334764,-8.768433953232346e-05,4.3575014278651736e-05,0.0019512371846710508,0.0028520495626830123,0.004252343364981531,0.016668352668494087,-0.0027442353323062774,0.016307888602620446
2017-02-08,0.0602321533065216,0.0635430599587969,0.0602097950353546,0.0612031904231582,0.0702314459736127,2.2358271167005617e-05,-0.0009710371166365972,0.0604280659482274,0.06345895408956148,0.07928092260998769,4.3575014278651736e-05,0.0003954481844035129,0.001309751231442391,0.0021340977940788263,0.002917537124255132,0.0040594979430721425,0.01655094221660336,-0.0014372226225597418,0.015901030939679428
2017-02-09,0.0626891724720002,0.0610325726923411,0.0602321533065216,0.0577926151218095,0.0705716600693369,0.002457019165478601,0.004896557350190706,0.06140737741826554,0.06306482970969464,0.07857726704152124,0.001309751231442391,0.0006587329962313149,0.005915088197528284,0.00318536883433822,0.003072188260062303,0.003699261976851594,0.016339041758795053,0.0,0.01551535292693118
2017-02-10,0.0623973528984732,0.0606856621448646,0.0626891724720002,0.0621709575166215,0.0673687865817735,-0.0002918195735270024,0.00022639538185170033,0.06145265649463588,0.06281625802552962,0.07788882034491311,0.005915088197528284,0.006869259313708298,0.0039384067495698005,0.002599198321510521,0.0031434558973025607,0.0035592131536385956,0.01613128577126923,0.0,0.015404082550808829
2017-02-13,0.0641681998297477,0.0600175699709511,0.0623973528984732,0.0617348087608298,0.0601358662549337,0.0017708469312744946,0.002433391068917899,0.06193933470841946,0.06301787470427032,0.0772104736306278,0.0039384067495698005,-0.0017891704147334764,0.0054277209036950325,0.003326908419302832,0.0033002110397610364,0.0035132997541135686,0.01583045787192678,0.0,0.015489157510614193
2017-02-14,0.0622705250154613,0.0588841932275674,0.0641681998297477,0.0602097950353546,0.0602564968827283,-0.0018976748142863972,0.0020607299801067014,0.0623514807044408,0.06311857611090697,0.07649521473270723,0.0054277209036950325,4.3575014278651736e-05,0.003987139628798708,0.0041156213422068435,0.003323086680723586,0.003458420210541248,0.01551132629707927,0.0,0.015857518370791412
2017-02-15,0.0635430599587969,0.0532975008375492,0.0622705250154613,0.0602321533065216,0.0601192745547627,0.0012725349433356029,0.0033109066522752986,0.06301366203489586,0.06328976538110867,0.07579201500015836,0.003987139628798708,0.001309751231442391,0.005206850851283917,0.004895041266175149,0.0034730442357208792,0.003386124924551524,0.015114587564365116,0.0,0.016376554050116177
2017-02-16,0.0610325726923411,0.0524725662089234,0.0635430599587969,0.0626891724720002,0.0614035317174449,-0.0025104872664558006,-0.0016565997796591028,0.06268234207896403,0.06327121742985349,0.07503569046217924,0.005206850851283917,0.005915088197528284,0.0008517608048999037,0.0038823757876494725,0.0033300627509556422,0.0033979959957775416,0.014685706166329872,-0.0008513981596355302,0.01701442016731569
2017-02-17,0.0606856621448646,0.0511307440885425,0.0610325726923411,0.0623973528984732,0.0612581279094399,-0.0003469105474765005,-0.001711690753608601,0.06234000392824233,0.06324259414162473,0.0742414683634922,-0.0008517608048999037,0.0039384067495698005,0.001575052554742662,0.003409704948684045,0.0032254456478505666,0.00341819696870978,0.014132241253220029,0.0,0.017644203467506614
2017-02-21,0.0600175699709511,0.0450190420939804,0.0606856621448646,0.0641681998297477,0.0611493833201209,-0.0006680921739135037,-0.004150629858796599,0.06150987795648301,0.06318600347416624,0.07345838636474895,0.001575052554742662,0.0054277209036950325,0.005937739719876767,0.0035117087119203917,0.0033920536388679866,0.0034637410495341994,0.01357698453588124,0.0,0.018639097221534673
2017-02-22,0.0588841932275674,0.0612063313887077,0.0600175699709511,0.0622705250154613,0.0646489572091182,-0.0011333767433837003,-0.0033863317878939023,0.06083261159890422,0.0628977652750887,0.07266843879524941,0.005937739719876767,0.003987139628798708,0.0008884723982571785,0.0028919752658120856,0.003116919668917717,0.003573706992416727,0.01300154817035573,-0.0008880778235207387,0.019289988891651344
