Date,realized_vol,rv_lag1,rv_lag5,rv_lag20,rv_change1,rv_change5,ret_lag1,ret_lag5,abs_ret,abs_ret_mean5,abs_ret_mean20,vol_of_vol_20,vol_of_vol_60,drawdown_60,ma_ratio_20_60,y,y_log
2010-04-28,0.1354742069049691,0.1331207954993087,0.0985334062224764,0.0726466580070605,0.0023534114056604,0.0369408006824927,-0.0239347841332078,-0.001821416917493,0.007568043536005,0.0089545235348964,0.0063084427930502,0.019873991743208,0.0507692749241856,-0.0199489841687304,0.0434777143004259,0.1798634086115057,-1.7155575572047246
2010-04-29,0.1403534736593872,0.1354742069049691,0.0958512975389681,0.0754404641197468,0.004879266754418,0.044502176120419,0.007568043536005,0.0029792395200303,0.0123208804987928,0.0108228517306489,0.0067538497561548,0.0227985966352568,0.0504861597564716,-0.0077991983891627,0.0435026553749153,0.2139120239095037,-1.542190451713002
2010-04-30,0.1536723754357357,0.1403534736593872,0.0963886134542314,0.0771331823299787,0.0133189017763485,0.0572837619815043,0.0123208804987928,0.0065066393806887,0.0171073086151469,0.0129429855775406,0.0072684999310067,0.0264369074547584,0.0503038663330831,-0.024628719363959,0.0425160692329822,0.2154624753813956,-1.5349685127609802
2010-05-03,0.1577095958814725,0.1536723754357357,0.0982440811921199,0.0672410320752878,0.0040372204457367,0.0594655146893525,-0.0171073086151469,-0.0037839111045503,0.012878414361257,0.0147618862288819,0.007506607829146,0.0290345671757391,0.0495598546534653,-0.0119862511162467,0.041043532010605,0.2717362757100759,-1.3029232576229421
2010-05-04,0.1797693286765261,0.1577095958814725,0.1331207954993087,0.0668395543149664,0.0220597327950536,0.0466485331772174,0.012878414361257,-0.0239347841332078,0.0237955478362241,0.0147340389694852,0.0085786279878681,0.0330327211378014,0.0491695887541333,-0.035219064533505,0.0386880322474803,0.2716378616771539,-1.3032854906672726
2010-05-05,0.1798634086115057,0.1797693286765261,0.1354742069049691,0.0726023232693613,9.407993497961842e-05,0.0443892017065365,-0.0237955478362241,0.007568043536005,0.0059740768213538,0.0144152456265549,0.0085908906477431,0.0360245766077318,0.0488076347613514,-0.0409655578706107,0.0363215850428144,0.2734394310674716,-1.2966751402655303
2010-05-06,0.2139120239095037,0.1798634086115057,0.1403534736593872,0.0722231207323782,0.0340486152979979,0.0735585502501165,-0.0059740768213538,0.0123208804987928,0.0337778131983546,0.0187066321664673,0.0101068849856468,0.0415806908221225,0.0491099160897889,-0.0728186516978548,0.0328848187951862,0.2759765217626055,-1.2874394829608273
2010-05-07,0.2154624753813956,0.2139120239095037,0.1536723754357357,0.0737218425156618,0.0015504514718918,0.0617900999456599,-0.0337778131983546,-0.0171073086151469,0.0149868816412421,0.0182825467716863,0.0105289430958226,0.0455776507308472,0.0494911269327149,-0.0866106015190683,0.028610299462815,0.2775653158932533,-1.2816990009031295
2010-05-10,0.2717362757100759,0.2154624753813956,0.1577095958814725,0.0734102864393042,0.0562738003286803,0.1140266798286034,-0.0149868816412421,0.012878414361257,0.0430987100390831,0.0243266059072515,0.0126044617717437,0.0545107948615045,0.0520671622920624,-0.0463840673506744,0.02581475659415,0.2768573986630895,-1.284252711623478
2010-05-11,0.2716378616771539,0.2717362757100759,0.1797693286765261,0.0732742910241208,-9.841403292198958e-05,0.0918685330006278,0.0430987100390831,-0.0237955478362241,0.0028448145271147,0.0201364592454297,0.0127091435512996,0.0604663355661847,0.0545155458326746,-0.0490930726733245,0.0228804989444852,0.2761321094974133,-1.2868758701856697
2010-05-12,0.2734394310674716,0.2716378616771539,0.1798634086115057,0.0776768240911939,0.0018015693903176,0.0935760224559658,-0.0028448145271147,-0.0059740768213538,0.013889149545128,0.0217194737901845,0.0128393311373957,0.0647520885692216,0.056723881216637,-0.0357936390420011,0.0200756542249906,0.2761380892355569,-1.286854215067731
2010-05-13,0.2759765217626055,0.2734394310674716,0.2139120239095037,0.0765601276837923,0.0025370906951339,0.0620644978531018,0.013889149545128,-0.0337778131983546,0.0125085993364475,0.0174656310178031,0.0134235265098798,0.0674316721345005,0.0590579016356956,-0.0477793913234843,0.0168952705552136,0.3007151198832017,-1.2015919079664255
2010-05-14,0.2775653158932533,0.2759765217626055,0.2154624753813956,0.099596328215461,0.0015887941306477,0.0621028405118576,-0.0125085993364475,-0.0149868816412421,0.0182711941956821,0.0181224935286911,0.0135350755208075,0.0701216533181103,0.0613553278196744,-0.0650196195869465,0.0140461697444325,0.3063705490900331,-1.1829599648932985
2010-05-17,0.2768573986630895,0.2775653158932533,0.2717362757100759,0.0971373021282763,-0.0007079172301637,0.0051211229530135,-0.0182711941956821,0.0430987100390831,0.0005266276440316,0.0096080770496808,0.013373234353336,0.0713552989535983,0.0637280087254327,-0.0645271033970564,0.0110569026105338,0.3074026946200423,-1.1795966820733732
2010-05-18,0.2761321094974133,0.2768573986630895,0.2716378616771539,0.0997235732278455,-0.0007252891656762,0.0044942478202593,0.0005266276440316,-0.0028448145271147,0.0136954175089272,0.0117781976460433,0.013613473518038,0.0715181589973914,0.0662151328781744,-0.0772514636851201,0.0071724970953124,0.3007420996001833,-1.2015021934659567
2010-05-19,0.2761380892355569,0.2761321094974133,0.2734394310674716,0.0985334062224764,5.979738143591096e-06,0.0026986581680852,-0.0136954175089272,0.013889149545128,0.0057105589165846,0.0101424795203346,0.0138079306179926,0.0704396545118358,0.0685136808580082,-0.082505856527972,0.0030087007691776,0.2972302378251188,-1.2132482289683124
